org,channel,product,planner
org1,Non Revenue,B PBCA,user1
org1,Non Revenue,B PBBS,user1
org1,Non Revenue,BJU A,user2
org1,Non Revenue,A X BA,user2
org1,Non Revenue,UJZCA,user1
org1,Non Revenue,MACBE,user2
org1,Non Revenue,MACAZ,user1
org1,Non Revenue,MACCI,user1
org1,Non Revenue,MAP CC,user1
org1,Non Revenue,MACCK,user1
org1,Non Revenue,UJZ D,user2
org1,Non Revenue,BJG T,user1
org1,Non Revenue,MAO BF,user3
org1,Non Revenue,MAO CB,user2
org1,Non Revenue,MAP CZ,user1
org1,Non Revenue,MAO BM,user1
org1,Non Revenue,MAP DR,user1
org1,Non Revenue,ANTICB,user1
org1,Non Revenue,ANTSBC,user1
org1,Non Revenue,ANTSBD,user1
org1,Non Revenue,E A I,user1
org1,Non Revenue,B PAK,user3
org1,Non Revenue,MAB A,user1
org1,Non Revenue,CAS AE,user2
org1,Non Revenue,MACAX,user2
org1,Non Revenue,MACAYA,user1
org1,Non Revenue,GTL D,user1
org1,Non Revenue,MTL D,user1
org1,Non Revenue,F V B,user1
org1,Non Revenue,M JCE,user2
org1,Non Revenue,M JCF,user2
org1,Non Revenue,H V J,user3
org1,Non Revenue,M K I,user2
org1,Non Revenue,C D T,user1
org1,Non Revenue,F A XA,user1
org1,Non Revenue,CAS AC,user1
org1,Non Revenue,AAB L,user3
org1,Non Revenue,AAA SC,user1
org1,Non Revenue,HAS A,user2
org1,Non Revenue,AAC XC,user1
org1,Non Revenue,MAAFB,user3
org1,Non Revenue,MAP CM,user1
org1,Non Revenue,F PXA,user1
org1,Non Revenue,RDA B,user1
org1,Non Revenue,HJM D,user1
org1,Non Revenue,MAP CR,user2
org1,Non Revenue,HJM A,user2
org1,Non Revenue,MAP DG,user1
org1,Non Revenue,BJG S,user1
org1,Non Revenue,FJM W,user2
org1,Non Revenue,MAO CF,user2
org1,Non Revenue,MAO BY,user3
org1,Non Revenue,MAO BW,user1
org1,Non Revenue,MAO AW,user3
org1,Non Revenue,O B WG,user1
org1,Non Revenue,O B VG,user1
org1,Non Revenue,B PBBG,user2
org1,Non Revenue,B PBBI,user2
org1,Non Revenue,B PBBM,user3
org1,Non Revenue,B PBBO,user2
org1,Non Revenue,O B GG,user2
org1,Non Revenue,O B WN,user3
org1,Non Revenue,O B WQ,user1
org1,Non Revenue,O B CG,user3
org1,Non Revenue,HAJ A,user1
org1,Non Revenue,C B A,user1
org1,Non Revenue,O B GE,user3
org1,Non Revenue,O B GB,user2
org1,Non Revenue,O B GC,user2
org1,Non Revenue,O B GA,user2
org1,Non Revenue,O B GD,user2
org1,Non Revenue,O B WD,user2
org1,Non Revenue,B PAC,user1
